request_id,citizen_id,request_timestamp,service_type,documents_submitted,wait_time_minutes,audit_outcome,audit_completion_date,final_decision_amount,closure_reason
1,98696,2023-04-25T00:00:00,BIRTH_CERT,12,71,passed,2023-05-08T00:00:00,27.91,
2,88907,2023-03-31T18:00:00,ID_RENEWAL,7,9,passed,2023-05-09T18:00:00,43.73,
3,46463,2023-07-23T22:00:00,ID_RENEWAL,11,180,passed,2023-09-05T22:00:00,44.09,
4,54118,2023-06-13T22:00:00,ID_RENEWAL,7,88,passed,2023-08-07T22:00:00,43.06,
5,15695,2023-04-05T12:00:00,BUSINESS_PERMIT,2,92,flagged,2023-06-02T12:00:00,1524.47,AUDIT_DONE
6,85674,2023-05-08T12:00:00,TAX_CERT,2,142,passed,2023-06-07T12:00:00,125.73,
7,23238,2023-03-13T01:00:00,BUSINESS_PERMIT,11,59,flagged,2023-04-03T01:00:00,1982.27,AUDIT_DONE
8,44993,2023-10-12T14:00:00,ID_RENEWAL,11,94,passed,2023-11-30T14:00:00,71.05,
9,83000,2023-06-25T17:00:00,TAX_CERT,12,63,passed,2023-08-11T17:00:00,75.89,
10,37653,2023-11-29T01:00:00,BIRTH_CERT,4,9,flagged,2023-12-10T01:00:00,1281.4,AUDIT_DONE
11,28726,2023-11-19T06:00:00,FAMILY_STATUS,11,128,passed,2023-12-25T06:00:00,182.91,
12,86484,2023-05-23T07:00:00,BUSINESS_PERMIT,12,144,passed,2023-06-26T07:00:00,149.4,
13,30033,2024-01-06T07:00:00,TAX_CERT,3,131,passed,2024-01-20T07:00:00,151.16,
14,42953,2024-03-08T19:00:00,BIRTH_CERT,2,99,passed,2024-04-17T19:00:00,199.22,
15,94012,2023-01-12T21:00:00,FAMILY_STATUS,12,30,passed,2023-02-05T21:00:00,107.39,
16,44522,2023-04-25T09:00:00,BIRTH_CERT,7,41,passed,2023-06-17T09:00:00,190.76,
17,36071,2023-07-02T16:00:00,TAX_CERT,2,161,passed,2023-08-16T16:00:00,127.79,
18,12552,2024-01-18T05:00:00,ID_RENEWAL,9,136,rejected,2024-02-25T05:00:00,29.95,AUDIT_DONE
19,21226,2024-01-07T09:00:00,BUSINESS_PERMIT,4,15,passed,2024-01-19T09:00:00,113.47,
20,44741,2023-03-12T17:00:00,BIRTH_CERT,3,33,passed,2023-03-29T17:00:00,189.37,
21,95180,2024-03-09T06:00:00,FAMILY_STATUS,9,177,passed,2024-04-27T06:00:00,62.34,
22,87110,2024-03-24T16:00:00,BIRTH_CERT,8,31,passed,2024-04-01T16:00:00,12.81,
23,18834,2023-08-24T18:00:00,ID_RENEWAL,4,2,passed,2023-09-14T18:00:00,126.22,
24,27342,2023-12-05T02:00:00,BIRTH_CERT,9,61,passed,2024-01-15T02:00:00,97.08,
25,56438,2024-04-29T07:00:00,BUSINESS_PERMIT,8,105,passed,2024-06-02T07:00:00,19.39,
26,17944,2024-02-25T14:00:00,BUSINESS_PERMIT,12,14,passed,2024-03-09T14:00:00,196.83,
27,34050,2023-12-14T03:00:00,FAMILY_STATUS,4,50,passed,2024-01-17T03:00:00,89.72,
28,16630,2024-04-18T07:00:00,BIRTH_CERT,2,114,flagged,2024-05-01T07:00:00,1827.16,AUDIT_DONE
29,17685,2023-01-16T02:00:00,TAX_CERT,4,43,passed,2023-02-17T02:00:00,96.27,
30,65444,2024-01-24T00:00:00,BIRTH_CERT,7,68,rejected,2024-02-18T00:00:00,39.26,AUDIT_DONE
31,81066,2024-05-13T04:00:00,ID_RENEWAL,4,76,passed,2024-07-06T04:00:00,11.7,
32,30635,2023-11-18T01:00:00,ID_RENEWAL,1,150,passed,2023-12-28T01:00:00,183.88,
33,62923,2024-06-04T02:00:00,ID_RENEWAL,3,18,passed,2024-06-26T02:00:00,135.04,
34,84085,2023-09-10T18:00:00,BIRTH_CERT,10,11,passed,2023-10-24T18:00:00,83.84,
35,27154,2023-11-20T08:00:00,FAMILY_STATUS,4,172,flagged,2023-12-22T08:00:00,1086.42,AUDIT_DONE
36,19602,2024-04-13T10:00:00,BIRTH_CERT,2,3,passed,2024-04-26T10:00:00,199.69,
37,58434,2023-08-07T16:00:00,FAMILY_STATUS,5,34,rejected,2023-08-29T16:00:00,44.04,AUDIT_DONE
38,79329,2023-06-11T14:00:00,ID_RENEWAL,9,78,passed,2023-07-29T14:00:00,197.45,
39,82512,2023-11-03T21:00:00,TAX_CERT,2,35,passed,2023-12-27T21:00:00,177.94,
40,44600,2023-10-06T09:00:00,BIRTH_CERT,10,54,flagged,2023-11-22T09:00:00,1044.32,AUDIT_DONE
41,10464,2024-05-15T08:00:00,FAMILY_STATUS,1,24,passed,2024-05-24T08:00:00,165.87,
42,83519,2023-05-14T20:00:00,ID_RENEWAL,5,42,flagged,2023-06-17T20:00:00,1462.02,AUDIT_DONE
43,82420,2023-04-25T02:00:00,TAX_CERT,12,39,passed,2023-06-08T02:00:00,166.92,
44,56898,2024-03-16T04:00:00,TAX_CERT,1,79,passed,2024-03-25T04:00:00,186.62,
45,91351,2023-09-13T21:00:00,TAX_CERT,2,91,flagged,2023-10-16T21:00:00,1860.96,AUDIT_DONE
46,63964,2023-08-31T05:00:00,TAX_CERT,3,106,passed,2023-09-28T05:00:00,147.31,
47,39154,2023-10-01T05:00:00,TAX_CERT,12,28,passed,2023-11-07T05:00:00,7.74,
48,53025,2024-04-16T11:00:00,FAMILY_STATUS,5,59,passed,2024-05-18T11:00:00,132.01,
49,80282,2023-03-13T08:00:00,FAMILY_STATUS,6,165,passed,2023-05-12T08:00:00,135.9,
50,24208,2023-01-29T03:00:00,BIRTH_CERT,5,46,passed,2023-02-07T03:00:00,196.71,
51,60488,2024-03-20T11:00:00,BIRTH_CERT,12,81,passed,2024-04-03T11:00:00,196.85,
52,97900,2023-07-14T08:00:00,TAX_CERT,1,112,passed,2023-08-24T08:00:00,185.12,
53,26334,2024-01-08T13:00:00,FAMILY_STATUS,2,171,rejected,2024-02-26T13:00:00,31.16,AUDIT_DONE
54,26683,2024-06-03T09:00:00,TAX_CERT,11,105,passed,2024-07-15T09:00:00,139.44,
55,49446,2024-03-06T21:00:00,BUSINESS_PERMIT,7,174,flagged,2024-04-18T21:00:00,1008.83,AUDIT_DONE
56,52237,2023-01-01T09:00:00,BUSINESS_PERMIT,5,54,passed,2023-02-18T09:00:00,116.0,
57,32241,2024-03-28T14:00:00,ID_RENEWAL,11,55,passed,2024-05-24T14:00:00,158.75,
58,40784,2023-10-18T16:00:00,FAMILY_STATUS,11,163,passed,2023-12-12T16:00:00,18.68,
59,19545,2023-08-19T06:00:00,BUSINESS_PERMIT,3,7,passed,2023-10-04T06:00:00,196.79,
60,41979,2024-02-29T20:00:00,TAX_CERT,10,50,flagged,2024-04-01T20:00:00,1260.77,AUDIT_DONE
61,70889,2023-01-06T03:00:00,ID_RENEWAL,7,57,passed,2023-02-15T03:00:00,191.59,
62,88047,2023-09-13T03:00:00,FAMILY_STATUS,8,35,flagged,2023-10-25T03:00:00,1601.09,AUDIT_DONE
63,30861,2024-03-29T19:00:00,BUSINESS_PERMIT,12,130,passed,2024-05-03T19:00:00,181.37,
64,92149,2024-04-05T08:00:00,TAX_CERT,4,164,passed,2024-05-13T08:00:00,155.53,
65,20561,2023-10-09T14:00:00,TAX_CERT,2,74,passed,2023-11-19T14:00:00,67.17,
66,63424,2023-06-04T07:00:00,FAMILY_STATUS,7,178,passed,2023-07-07T07:00:00,42.79,
67,86556,2024-04-22T13:00:00,ID_RENEWAL,1,53,flagged,2024-06-17T13:00:00,1267.37,AUDIT_DONE
68,64921,2024-01-25T15:00:00,BIRTH_CERT,1,91,passed,2024-03-25T15:00:00,78.0,
69,97670,2023-08-14T15:00:00,BUSINESS_PERMIT,4,70,passed,2023-09-11T15:00:00,5.8,
70,83975,2023-06-19T14:00:00,ID_RENEWAL,3,160,passed,2023-08-02T14:00:00,181.39,
71,59689,2023-03-27T20:00:00,FAMILY_STATUS,7,35,flagged,2023-04-19T20:00:00,1018.07,AUDIT_DONE
72,65255,2023-08-05T14:00:00,FAMILY_STATUS,6,87,flagged,2023-09-29T14:00:00,1254.95,AUDIT_DONE
73,95215,2023-03-25T15:00:00,ID_RENEWAL,1,139,passed,2023-04-15T15:00:00,190.38,
